id,title,category,brand,condition,age_months,asking_price,location
1,iPhone 12,Mobile,Apple,Good,24,35000.0,Mumbai
2,Redmi Note 11,Mobile,Xiaomi,Like New,8,11000.0,Delhi
3,OnePlus Nord 2,Mobile,OnePlus,Fair,30,15000.0,Bangalore
4,Dell Inspiron Laptop,Laptop,Dell,Good,36,28000.0,Pune
5,HP Pavilion Gaming,Laptop,HP,Like New,12,45000.0,Hyderabad
6,Samsung Galaxy S21,Mobile,Samsung,Good,20,32000.0,Chennai
7,Nike Air Max Shoes,Fashion,Nike,Like New,6,4000.0,Kolkata
8,Sofa Set,Furniture,UrbanLadder,Good,48,12000.0,Gurgaon
9,LG Smart TV 43 inch,Electronics,LG,Good,18,22000.0,Jaipur
10,Canon EOS 200D Camera,Camera,Canon,Like New,14,32000.0,Ahmedabad
11,MacBook Air 2020,Laptop,Apple,Good,30,55000.0,Mumbai
12,Motorola G60,Mobile,Motorola,Fair,28,9000.0,Delhi
13,Wooden Dining Table,Furniture,Ikea,Good,40,15000.0,Bangalore
14,Adidas Ultraboost Shoes,Fashion,Adidas,Like New,10,5000.0,Pune
15,PlayStation 4,Electronics,Sony,Good,60,18000.0,Hyderabad
